REV_NUMBER,REV_ALPHABET,CABLE_SIZE,PROCURED_BY,CABLE_TAG,START_EQPT,END_EQPT,LENGTH_SRRL,NO_OF_RUNS,TOTAL_DESIGN_LENGTH,CABLE_ROUTE,TIMESTAMP,LENGTH_VARIANCE
1,A,3X120-e,Unknown,MSBF-4P-009(A-C),415V MSB FWD,415V HCOS PDB3 (N),54.0,3.0,162.0,"20-37-P-D-1-400x200), 072_L75D-P-11, 072_L45B-P-06, 072_SCH45-P-07B, 072_SCH45-P-07A, 20-33-P-D-1A-(325x350), 095_VL30D-P-01, 095_L75C-P_01, 095_SCH75-P-03, 095_L65C-P-02, 095_L65C-P-01, 095_L75B-P-03, 095_L65C-P-06, 095_VL65B-P_08, 20-51-P-D-2-(325x250), 072_L75D-P-01, 072_L75D-P-05, 072_L20B-P-03, Local Route, , , ",2023-12-14 16:55:08,108.0
1,A,3X120-e,Unknown,MSBA-4P-010(A-C),415V MSB AFT,415V HCOS PDB3 (A),64.5,3.0,193.5,"20-P-D-9-(400x200), 071_L45C-P-08, 30-72-P-G-1-(400x200), 30-72-P-G-2-(400x200), 30-72-P-G-3-(400x200), 071_L45C-P-02, 20-71-P-D-5-(325x250), 091_VL-75C-P-04, 20-71-P-G-6-(400x200), 20-69-P-G-6-(400x200), 20-67-P-G-6-(400x200), 20-65-P-G-6-(400x200), 20-63-P-G-6-(400x200), 20-61-P-B-1-(325x250), 20-53-P-B-1-(400x200), 095_L65C-P-06, 095_VL05B-P_08, 20-51-P-D-2-325x250), 072_L75D-P-01, 072_L75D-P-05, 072_L20B-P-03, Local Route, ",2023-12-14 16:55:08,129.0
1,A,3X120-e,Unknown,MSBF-4P-009-1(A-C),415V HCOS PDB3,415V PDB3,12.5,3.0,37.5,"072_VL20B-P-01B, 072_L20B-P-01A, 072_VL20B-P-01C, 072_L20B-P-02A, 072_L20B-P-01, , , , , , , , , , , , , , , , , , ",2023-12-14 16:55:08,25.0
1,A,3X95-e,Unknown,PDB3-4P-01(A-B),415V PDB3,415V PDB3-1,28.0,2.0,56.0,"072_L20B-P-01, 072_L20C-P-01, 072_SCH20-P-10, 072_L20B-P-04, 30-45-P-D-1-(250x200), 072_005-L20B-P-01, 40-45-P-G-2-(400x200), 066_L45B-P-09, 066_SCH20-P-12, 066_SCH20-P-10, 066_L20B-P-09, 066_SCH20-P-13, 066_L45B-P-04A, 40-52-P-G-1-(400x200), 066_L45B-P-07A, 40-52-P-G-2-(400x200), 066_L20B-P-05, Local Route, , , , , ",2023-12-14 16:55:08,28.0
1,A,3X16-e,Unknown,PDB3-4P-06,415V PDB3,3MW DG(P) STBY SW PUMP STARTER PANEL (721.001.010),26.5,1.0,26.5,"072_L20B-P-01, 072_L20C-P-01, 072_SCH20-P-10, 072_L20B-P-04, 30-45-P-D-1-(250x200), 072_005-L20B-P-01, 40-45-P-G-2-(400x200), 066_L45B-P-09, 066_SCH20-P-12, 066_SCH20-P-10, 066_L20B-P-09, 066_SCH20-P-13, 066_L45B-P-04A, 066_L45B-P-08A, 066_SCH30-P-05A, 066_L30B-P-2A, , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X16-e,Unknown,PDB3-4P-07,415V PDB3,3MW DG(S) STBY SW PUMP STARTER PANEL (721.001.020),32.0,1.0,32.0,"072_L20B-P-01, 072_L20C-P-01, 072_SCH20-P-10, 072_L20B-P-04, 30-45-P-D-1-(250x200), 072_005-L20B-P-01, 40-45-P-G-2-(400x200), 066_L45B-P-09, 066_SCH20-P-12, 066_SCH20-P-10, 066_L20B-P-09, 066_SCH20-P-13, 066_L45B-P-04A, 40-52-P-G-1-(400x200), 066_L45B-P-07A, 066_L45B-P-06A, 066_L45B-P-02A, 066_SCH30-P-04, Local Route, , , , ",2023-12-14 16:55:08,0.0
1,A,3X16-e,Unknown,PDB3-4P-08,415V PDB3,3MW DG(P) JW HEATER CONTROL PANEL,37.0,1.0,37.0,"072_L20B-P-01, 072_L20C-P-01, 072_SCH20-P-10, 072_L20B-P-04, 30-45-P-D-1-(250x200), 072_005-L20B-P-01, 40-45-P-G-2-(400x200), 066_L45B-P-09, 066_SCH20-P-12, 066_SCH20-P-10, 066_L20B-P-09, 066_SCH20-P-13, 066_L45B-P-04A, 30-52-P-D-1-(250x200), 072_L20B-P-03, 072_SCH-P-03, 072_L75D-P-05, 072_L75D-P-03, LOCAL ROUTE THROUGH THE FLATBAR BELOW CENTERLINE GIRDER, 066_L20C-P-02, 066_L20C-P-01A, LOCAL ROUTE, ",2023-12-14 16:55:08,0.0
1,A,3X16-e,Unknown,PDB3-4P-09,415V PDB3,3MW DG(S) JW HEATER CONTROL PANEL,22.0,1.0,22.0,"072_L20B-P-01, 072_L20C-P-01, 072_SCH20-P-10, 072_L20B-P-04, 30-45-P-D-1-(250x200), 072_005-L20B-P-01, 066_SCH45-P-11, 066_VL30B-P-01A, Local Route through Metalic fixed conduit, , , , , , , , , , , , , , ",2023-12-14 16:55:08,0.0
1,A,3X1.5-x,Unknown,PDB3-4P-16,415V PDB3,OILY BILGE TRANSFER PUMP STARTER PANEL (803.001.040),26.0,1.0,26.0,"072_L20B-P-01, 072_L20C-P-01, 072_SCH20-P-10, 072_L20B-P-04, 30-45-P-D-1-(250x200), 072_005-L20B-P-01, 40-45-P-G-2-(400x200), 066_L45B-P-09, 066_SCH20-P-12, 066_SCH20-P-10, 066_L20B-P-09, 066_SCH20-P-13, 066_L45B-P-04A, 40-52-P-G-1-(400x200), 066_L45B-P-07A, 066_L45B-P-05A, 066_L20-P-13, Local Route, , , , , ",2023-09-04 14:01:15,0.0
1,A,3X2.5-e,Unknown,PDB3-4P-17,415V PDB3,UPS FOR DG LCP(P),26.0,1.0,26.0,"072_L20B-P-01, 072_L20C-P-01, 072_SCH20-P-10, 072_L20B-P-04, 30-45-P-D-1-(250x200), 072_005-L20B-P-01, 40-45-P-G-2-(400x200), 066_L45B-P-09, 066_SCH20-P-12, 066_SCH20-P-10, 066_L20B-P-09, 066_SCH20-P-13, 066_L45B-P-04A, 30-52-P-D-1-(250x200), Local Route, , , , , , , , ",2023-12-14 16:55:08,0.0
